--env SUMSTAT	--env N	--env OUT
/mnt/data/ss/UKB.AID_Combined.SAIGE.txt	293798	/mnt/data/result/UKB.AID_Combined.SAIGE
/mnt/data/ss/UKB.AID_STRICT.SAIGE.txt	269180	/mnt/data/result/UKB.AID_STRICT.SAIGE
/mnt/data/ss/UKB.AID_STRICT_Combined.SAIGE.txt	270550	/mnt/data/result/UKB.AID_STRICT_Combined.SAIGE
/mnt/data/ss/UKB.AID_STRICT_Self.SAIGE.txt	361144	/mnt/data/result/UKB.AID_STRICT_Self.SAIGE
/mnt/data/ss/UKB.AID_Self.SAIGE.txt	361144	/mnt/data/result/UKB.AID_Self.SAIGE
/mnt/data/ss/UKB.ALP.BOLT.txt	345247	/mnt/data/result/UKB.ALP.BOLT
/mnt/data/ss/UKB.ALT.BOLT.txt	345091	/mnt/data/result/UKB.ALT.BOLT
/mnt/data/ss/UKB.AST.BOLT.txt	343988	/mnt/data/result/UKB.AST.BOLT
/mnt/data/ss/UKB.Age_at_Menarche.BOLT.txt	188645	/mnt/data/result/UKB.Age_at_Menarche.BOLT
/mnt/data/ss/UKB.Age_at_Menopause.BOLT.txt	109110	/mnt/data/result/UKB.Age_at_Menopause.BOLT
/mnt/data/ss/UKB.Alb.BOLT.txt	317006	/mnt/data/result/UKB.Alb.BOLT
/mnt/data/ss/UKB.ApoA.BOLT.txt	315139	/mnt/data/result/UKB.ApoA.BOLT
/mnt/data/ss/UKB.ApoB.BOLT.txt	343572	/mnt/data/result/UKB.ApoB.BOLT
/mnt/data/ss/UKB.Asthma.SAIGE.txt	354883	/mnt/data/result/UKB.Asthma.SAIGE
/mnt/data/ss/UKB.BFP.BOLT.txt	354844	/mnt/data/result/UKB.BFP.BOLT
/mnt/data/ss/UKB.BMI.BOLT.txt	360023	/mnt/data/result/UKB.BMI.BOLT
/mnt/data/ss/UKB.BW.BOLT.txt	360153	/mnt/data/result/UKB.BW.BOLT
/mnt/data/ss/UKB.Balding_Type4.SAIGE.txt	167000	/mnt/data/result/UKB.Balding_Type4.SAIGE
